continent,common_name,species_name
North America,Western Swamphen,Porphyrio porphyrio
North America,African Swamphen,Porphyrio madagascariensis
North America,Gray-headed Swamphen,Porphyrio poliocephalus
North America,Laysan Rail,Zapornia palmeri
North America,Hawaiian Rail,Zapornia sandwichensis
North America,Ocellated Crake,Micropygia schomburgkii
North America,Yellow Rail,Coturnicops noveboracensis
North America,Yellow-breasted Crake,Hapalocrex flaviventer
North America,Ruddy Crake,Laterallus ruber
North America,White-throated Crake,Laterallus albigularis
North America,Gray-breasted Crake,Laterallus exilis
North America,Black Rail,Laterallus jamaicensis
North America,Sungrebe,Heliornis fulica
North America,Limpkin,Aramus guarauna
North America,Gray Crowned-Crane,Balearica regulorum
North America,Sandhill Crane,Antigone canadensis
North America,Sarus Crane,Antigone antigone
North America,Common Crane,Grus grus
North America,Hooded Crane,Grus monacha
North America,Whooping Crane,Grus americana
North America,Double-striped Thick-knee,Burhinus bistriatus
North America,Black-winged Stilt,Himantopus himantopus
North America,Black-necked Stilt,Himantopus mexicanus
North America,American Avocet,Recurvirostra americana
North America,Eurasian Oystercatcher,Haematopus ostralegus
North America,American Oystercatcher,Haematopus palliatus
North America,Black Oystercatcher,Haematopus bachmani
North America,Black-bellied Plover,Pluvialis squatarola
North America,European Golden-Plover,Pluvialis apricaria
North America,American Golden-Plover,Pluvialis dominica
North America,Pacific Golden-Plover,Pluvialis fulva
North America,Northern Lapwing,Vanellus vanellus
North America,Southern Lapwing,Vanellus chilensis
North America,Lesser Sand-Plover,Charadrius mongolus
North America,Greater Sand-Plover,Charadrius leschenaultii
North America,Collared Plover,Charadrius collaris
North America,Snowy Plover,Charadrius nivosus
North America,Wilson's Plover,Charadrius wilsonia
North America,Common Ringed Plover,Charadrius hiaticula
North America,Semipalmated Plover,Charadrius semipalmatus
North America,Piping Plover,Charadrius melodus
North America,Little Ringed Plover,Charadrius dubius
North America,Killdeer,Charadrius vociferus
North America,Mountain Plover,Charadrius montanus
North America,Oriental Plover,Charadrius veredus
North America,Eurasian Dotterel,Charadrius morinellus
North America,Northern Jacana,Jacana spinosa
North America,Wattled Jacana,Jacana jacana
North America,Upland Sandpiper,Bartramia longicauda
North America,Bristle-thighed Curlew,Numenius tahitiensis
North America,Whimbrel,Numenius phaeopus
North America,Little Curlew,Numenius minutus
North America,Eskimo Curlew,Numenius borealis
North America,Long-billed Curlew,Numenius americanus
North America,Far Eastern Curlew,Numenius madagascariensis
North America,Slender-billed Curlew,Numenius tenuirostris
North America,Eurasian Curlew,Numenius arquata
North America,Bar-tailed Godwit,Limosa lapponica
North America,Black-tailed Godwit,Limosa limosa
North America,Hudsonian Godwit,Limosa haemastica
North America,Marbled Godwit,Limosa fedoa
North America,Ruddy Turnstone,Arenaria interpres
North America,Black Turnstone,Arenaria melanocephala
North America,Great Knot,Calidris tenuirostris
North America,Red Knot,Calidris canutus
North America,Surfbird,Calidris virgata
North America,Ruff,Calidris pugnax
North America,Broad-billed Sandpiper,Calidris falcinellus
North America,Sharp-tailed Sandpiper,Calidris acuminata
North America,Stilt Sandpiper,Calidris himantopus
North America,Curlew Sandpiper,Calidris ferruginea
North America,Temminck's Stint,Calidris temminckii
North America,Long-toed Stint,Calidris subminuta
North America,Spoon-billed Sandpiper,Calidris pygmaea
North America,Red-necked Stint,Calidris ruficollis
North America,Sanderling,Calidris alba
North America,Dunlin,Calidris alpina
North America,Rock Sandpiper,Calidris ptilocnemis
North America,Purple Sandpiper,Calidris maritima
North America,Baird's Sandpiper,Calidris bairdii
North America,Little Stint,Calidris minuta
North America,Least Sandpiper,Calidris minutilla
North America,White-rumped Sandpiper,Calidris fuscicollis
North America,Buff-breasted Sandpiper,Calidris subruficollis
North America,Pectoral Sandpiper,Calidris melanotos
North America,Semipalmated Sandpiper,Calidris pusilla
North America,Western Sandpiper,Calidris mauri
North America,Short-billed Dowitcher,Limnodromus griseus
North America,Long-billed Dowitcher,Limnodromus scolopaceus
North America,Jack Snipe,Lymnocryptes minimus
North America,Eurasian Woodcock,Scolopax rusticola
North America,American Woodcock,Scolopax minor
North America,Solitary Snipe,Gallinago solitaria
North America,Common Snipe,Gallinago gallinago
North America,Wilson's Snipe,Gallinago delicata
North America,Pin-tailed Snipe,Gallinago stenura
North America,Terek Sandpiper,Xenus cinereus
North America,Wilson's Phalarope,Phalaropus tricolor
North America,Red-necked Phalarope,Phalaropus lobatus
North America,Red Phalarope,Phalaropus fulicarius
North America,Common Sandpiper,Actitis hypoleucos
North America,Spotted Sandpiper,Actitis macularius
North America,Green Sandpiper,Tringa ochropus
North America,Solitary Sandpiper,Tringa solitaria
North America,Gray-tailed Tattler,Tringa brevipes
North America,Wandering Tattler,Tringa incana
North America,Spotted Redshank,Tringa erythropus
North America,Greater Yellowlegs,Tringa melanoleuca
North America,Common Greenshank,Tringa nebularia
North America,Willet,Tringa semipalmata
North America,Lesser Yellowlegs,Tringa flavipes
North America,Marsh Sandpiper,Tringa stagnatilis
North America,Wood Sandpiper,Tringa glareola
North America,Common Redshank,Tringa totanus
North America,Collared Pratincole,Glareola pratincola
North America,Oriental Pratincole,Glareola maldivarum
